,职位名,公司名,地点,薪资
23,Java开发实习生,东莞中集智能科技有限公司,异地招聘,3-4千/月
24,Java开发工程师,江苏百瑞赢证券咨询有限公司,南京-建邺区,0.8-1.2万/月
25,Java初（中）级开发工程师,南京览众智能科技有限公司,南京-玄武区,6-9千/月
26,Java开发工程师,友邦资讯科技(广州)有限公司,西安-高新技术...,1.5-2万/月
27,高级java开发工程师,广东三维家信息科技有限公司,广州,1.5-3万/月
28,Java开发工程师,四星（深圳）贸易有限公司,深圳,1.2-3万/月
29,Java开发工程师,车旦生活四川总公司,成都,1-1.5万/月
30,JAVA后端开发工程师,浙江课管信息科技有限公司,杭州-江干区,1-1.5万/月
31,Java高级开发工程师,深圳市太和物联信息技术有限公司,深圳-南山区,1.8-2.8万/月
32,Java开发工程师,易商新程（杭州）有限公司,杭州-萧山区,1-1.5万/月
33,Java中级开发工程师,云南中为物流信息产业有限公司,昆明-五华区,6-8千/月
34,Java开发工程师,上海邻客人力资源服务有限公司,上海-徐汇区,2-6万/月
35,Java开发实习生,中电工业互联网有限公司,长沙-岳麓区,2-3千/月
36,高级开发工程师（后端java）,百检（上海）信息科技有限公司,上海-松江区,1.5-3万/月
37,Java开发工程师,广州奔步电脑有限公司,北京-大兴区,1.5-2万/月
38,Java开发工程师,武汉索雅信息技术有限公司,武汉-武昌区,6-8千/月
39,Java高级开发工程师,广州合利宝支付科技有限公司,广州-天河区,2-3千/月
40,Java开发工程师,金税信息技术服务股份有限公司,广州-花都区,1.5-2万/月
41,Java开发工程师(东莞）,武汉易江智慧信息科技有限公司,武汉-青山区,0.8-1.6万/月
42,Java中级开发工程师,深圳市易思博酷客科技有限公司,东莞,0.9-1.5万/月
43,Java开发工程师,北京新海鼎力科技有限公司,异地招聘,0.8-1万/月
44,Java开发工程师,上饶筑城房地产开发有限公司,上饶,1-1.5万/月
45,Java开发工程师,北京腾信软创科技股份有限公司,深圳-福田区,1-1.5万/月
46,Java软件开发工程师（福利好双休）,北京汉克时代科技有限公司,郑州,1-1.5万/月
47,java开发工程师,深圳市德科信息技术有限公司,上海-浦东新区,1.5-2万/月
48,Java高级开发工程师,广州圆爱康生物科技有限公司,广州-天河区,0.6-1万/月
49,,深圳市阳光心理咨询有限公司,深圳-福田区,2-3万/月
0,Java开发工程师,江苏微锐超算科技有限公司,无锡,0.8-1.3万/月
1,Java开发工程师,印孚瑟斯技术（中国）有限公司,深圳-龙岗区,1.5-2万/月
2,JAVA开发,佳通轮胎（中国）投资有限公司研发中心,合肥-经开区,4-6千/月
3,Java开发工程师-CRU,金蝶软件（中国）有限公司,深圳,1-1.6万/月
4,Java高级开发工程师(北京农行),恒生电子股份有限公司,北京-丰台区,1.5-2万/月
5,技术研发部-Java开发工程师（Web开发）,江苏省广播电视集团有限公司,南京-玄武区,15-20万/年
6,Java初级开发工程师,长沙乐和乐器有限公司,长沙-天心区,6-8千/月
7,Java开发工程师,广州盛恒软件科技开发有限公司,广州-番禺区,0.8-1万/月
8,Java开发工程师,上海洲聚国际贸易有限公司,上海-闵行区,1-1.5万/月
9,java开发工程师,湖南潭州教育网络科技有限公司,长沙-岳麓区,1-1.5万/月
10,Java中级开发工程师,浙江昊阔物联科技有限公司,杭州-萧山区,8-10万/年
11,java开发工程师,聚项信息科技（上海）有限公司,上海-杨浦区,1-2万/月
12,Java开发工程师,梵熙（天津）网络科技有限公司,天津-河东区,4.5-6千/月
13,急聘java开发工程师/助理,湖北华奥星空体育产业联盟发展有限公司,武汉-武昌区,5-8千/月
14,Java开发工程师,湖南泰壹堂医疗管理有限公司,长沙-开福区,5-8千/月
15,Java后端开发工程师,江苏润广宣网络技术有限公司,无锡,3-4千/月
16,Java开发工程师,广州六米网络科技有限公司,广州-天河区,0.8-1.5万/月
17,Java开发工程师,天津学冠教育科技有限公司,天津-红桥区,0.5-1万/月
18,Java开发工程师,南昌网荇科技有限公司,南昌-东湖区,6-8千/月
19,Java开发工程师,大连成光网络技术有限公司,大连,0.6-1.3万/月
20,Java初级开发工程师,武汉数文科技有限公司,武汉,0.6-1万/月
21,Java中级开发工程师,杭州英尼网络技术有限公司,杭州-江干区,1-1.5万/月
22,Java开发工程师,长春启配信息技术服务有限公司,长春-高新技术...,4-6千/月
23,Java开发工程师,深圳市维曼云计算有限公司,深圳-南山区,1.5-2万/月
24,Java开发工程师,南昌易天信息技术有限公司,南昌,3-5千/月
25,Java开发工程师（J2EE）,上海羽根信息科技有限公司,上海-徐汇区,0.8-1万/月
26,Java开发工程师,IMG泡米文化科技,成都-青羊区,1-2万/月
27,JAVA开发工程师（广州）,武汉虹旭信息技术有限责任公司,武汉-江夏区,10-15万/年
28,Java开发工程师,深圳市亿融创服科技有限公司,深圳-南山区,4.5-6千/月
29,JAVA开发学徒4000起,广州数鹏通科技有限公司,广州-天河区,0.8-1.5万/月
30,Java开发工程师,山东斯泰麟网络科技有限公司,青岛-李沧区,6-15万/年
31,Java开发工程师（常驻广兰路职场）,长沙五享信息科技有限公司,长沙-芙蓉区,4.5-6千/月
32,Java初级开发工程师,杭州剑齿虎信息技术有限公司,武汉-洪山区,1-1.5万/月
33,Java开发工程师,上海睿天信息技术有限公司,上海-浦东新区,0.9-1.8万/月
34,java开发工程师,深圳市华圣达拉链有限公司,深圳-光明新区,0.8-1万/月
35,Java后端开发工程师,广州市小犬吠吠健康科技有限公司,广州-海珠区,0.8-1.6万/月
36,Java开发工程师,上海申石软件有限公司,广州-荔湾区,0.6-1.2万/月
37,Java开发工程师,深圳市利华动画科技视觉机构有限公司,深圳-龙岗区,1-2万/月
38,Java开发工程师,江门宏库科技有限公司,江门,5.5-7.5千/月
39,Java高级开发工程师,南京新街口百货商店股份有限公司,南京,1-1.5万/月
40,Java开发工程师,深圳市中钞信达金融科技有限公司,成都-高新区,5-8.5千/月
41,java开发,上海找钢网信息科技股份有限公司,上海-杨浦区,2-4万/月
42,Java开发工程师,南京安律信息科技有限公司,南京-浦口区,4.5-6千/月
43,Java开发工程师,南京思优普信息科技有限公司,南京,1-1.5万/月
